TimeStep,Temperature,Pressure,SpecificHeat,DiffusionCoefficient
650,0.49928174636882844,-0.9161464721192585,1.5972403192840976,0.05464012529862772
700,0.5019613426087186,-0.9478197256751177,2.1241190863880104,0.043020152355641585
750,0.5011748580772638,-0.9147766532462464,1.7238407402925906,0.05567110613986734
800,0.500357967943303,-0.974391067145799,7.816971787938788,0.058209992486861234
850,0.5079548765962472,-1.0151335070458363,1.7011261570190976,0.071818328860239
900,0.5110714083185851,-1.0064540958944517,1.8398104776590432,0.04855112232961326
950,0.5157505940032142,-0.9677387408728163,1.8104237276397115,0.048028932514962715
1000,0.5044490626673764,-0.9620573129424717,1.5928333519262485,0.03192303237121592
1050,0.5028404891453,-0.9519700805873257,1.9089412724980184,0.050202141603166946
1100,0.5097801249524406,-0.8955629827531759,2.15165912060675,0.061580816822633194
1150,0.5160715534748528,-0.8027972285991478,1.6350047889512813,0.04969997120936272
1200,0.5203807900883859,-0.774563942818893,2.2722251389593824,0.03429352918538996
1250,0.5216034535794463,-0.8100182235174527,1.7639578007448207,0.037329026798658266
1300,0.5193502452539549,-0.8181651289262334,1.6801562153878296,0.05765341439261115
1350,0.5181603867679935,-0.712492127928967,1.9377842794568825,0.03805567165966947
1400,0.5245032353729193,-0.7224690704583996,2.0401569497482557,0.05138851866040582
1450,0.5279276634085669,-0.7393238843083891,1.6993098675386185,0.06057360794534003
1500,0.5149363505906004,-0.6703949981644539,1.7700458622402675,0.02978286424041392
1550,0.5180395176288253,-0.7103658454477423,1.8150632805603533,0.04511699868990988
1600,0.5289825447958711,-0.8474457118339247,1.7148649987936335,0.03870113092644187
